article_id,article_num,infraction_desc,categorie_vehicule,amende_fixe,points_retrait,type_article,mots_cles,has_vitesse,has_alcool,has_ceinture,has_telephone,has_stationnement,has_feu_rouge,has_suspension,has_prison,has_recidive,has_transport
ART_001,1,ال يجوز ألي شخص أن يسوق مركبة ذات محرك أو مجموعة مركبات على الطريق العمومية ما لم يكن حاصال على رخصة للسياقة سارية الصالحية ومسلمة من قبل اإلدارة، تناسب صنف .املركبة أو مجموعة املركبات التي يسوقها,voiture,,,definition,مركبات | للسياقه | صنف | يسوق | محرك,0,0,0,0,0,0,0,0,0,0
ART_002,2,: استثناء من أحكام املادة األولى أعاله يجوز للمغاربة القاطنين بالخارج أن يسوقوا، داخل التراب الوطني، خالل مدة أقصاها- 1 سنة واحدة ابتداء من إقامتهم باملغرب، بواسطة رخصة السياقة املسلمة لهم بالخارج سارية,non_specifie,,,definition,املسلمه | مده | بواسطه | خالل | سنه,0,0,0,0,0,0,0,0,0,0
ART_003,3,يجب على السائقين الحاصلين على رخصة سياقة مسلمة بالخارج، بعد انصرام املدة املشار إليها في املادة السابقة، أن يتقدموا المتحانات الحصول على رخصة السياقة املغربية، أو أن يطلبوا تبديل .رخصتهم للسياقة تطبيقا للفقرات املوالية,non_specifie,,,definition,مقابل | سياقه | الحاصلين | وفق | رخصه,0,0,0,0,0,0,0,0,0,0
ART_004,4,في حالة السير الدولي ووفقا لالتفاقية الدولية للسير على الطرق، تسلم الهيئات املؤهلة لذلك من .قبل اإلدارة، رخصة دولية للسياقة موضوعة في دفتر خاص يجوز للسائقين من جنسية أجنبية، الحاصلين على رخصة دولية للسياقة، السياقة على التراب,non_specifie,,,definition,للسياقه | املده | الحاصلين | الوطني | للسير,0,0,0,0,0,0,0,0,0,0
ART_005,5,من13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (غريت ومتمت مبوجب املادة األوىل من القانون رقم )5866 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18 ( 1437 شوال استثناء من أحكام املادة األولى أعاله، يجوز للسائقين العسكريين الحاصلين على إجازة السياقة,non_specifie,,,sanction,السلطه | شريطه | املحدده | املركبات | املسلمه,0,0,0,0,0,0,0,0,0,0
ART_006,6,ال يجوز ألي كان سياقة مركبة فالحية ذات محرك أو مركبة غابوية ذات محرك أو أريبة لألشغال العمومية أو أريبة خاصة ذات محرك، على الطريق العمومية، مالم يكن حاصال على رخصة للسياقة .مسلمة طبقا للمادة األولى أعاله,vehicule_motorise,,,definition,محرك | ذات | مركبه | العموميه | اصناف,0,0,0,0,0,0,0,0,0,0
ART_007,7,من13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (غريت ومتمت مبوجب املادة األوىل من القانون رقم )5866 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18 ( 1437 شوال .يحدد صنف رخصة السياقة حسب صنف أو أصناف املركبة التي يمكن سياقتها,moto,,,definition,صنف | يتجاوز | كيلوغراما | وزنها | االجمالي,0,0,0,0,0,0,0,0,0,0
ART_008,8,من13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (غريت ومتمت مبوجب املادة األوىل من القانون رقم )5866 :)، ص2016 أغسطس11(1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18( 1437 شوال ال يسمح كل صنف من أصناف رخصة السياقة إال بسياقة صنف املركبات املقابل له فقط كما هو,moto,,,sanction,الصنف | ايضا | صنف | بالنسبه | شريطه,0,0,0,0,0,0,0,0,0,0
ART_009,9,يجب اإلدالء برخصة السياقة أو بالوثيقة التي تحل محلها إلى األعوان املكلفين بمراقبة تطبيق .أحكام هذا القانون والنصوص الصادرة لتطبيقه، كلما طلبوا ذلك األمانة العامة للحكومة,non_specifie,,,definition,شروط | احكام | تطبيق | الثالث | االدالء,0,0,0,0,0,0,0,0,0,0
ART_010,10,من13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (غريت ومتمت مبوجب املادة األوىل من القانون رقم )5866 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18 ( 1437 شوال : تسلم رخصة السياقة إلى املترشح بعد اجتيازه بنجاح,voiture,,,sanction,والتنظيميه | التشريعيه | االحكام | محرك | مراقبه,0,0,0,0,0,0,0,0,0,0
ART_011,11,من13 بتاريخ1.16.106 الصادر بتنفيذه الظهري الرشيف رقم116.14 (غريت ومتمت مبوجب املادة األوىل من القانون رقم )5867 :)، ص2016 أغسطس11( 1437 ذي القعدة7 بتاريخ6490 )، ج.ر عدد2016 يوليو18 ( 1437 شوال ،ال يجوز ألي كان أن يتقدم الجتياز امتحان الحصول على رخصة سياقة إحدى أصناف املركبات,moto,,,sanction,الصنف | للحصول | كامله | سنه | املركبات,0,0,0,0,0,0,0,0,0,0
ART_012,12,،يخضع وجوبا كل مترشح الختبارات امتحان الحصول على رخصة السياقة لفحص طبي مسبق الغاية منه التأكد من أن قدراته البدنية والعقلية تمكنه من سياقة مركبة على الطريق العمومية دون خطر وخاصة التأكد من أنه غير مصاب بأحد األمراض التي تمنع السياقة واملحددة قائمتها من قبل,vehicule_motorise,,,definition,الوطني | امتحان | الحصول | الوطنيه | السياقه,0,0,0,0,0,0,0,0,0,0
ART_013,13,إذا كان املترشح الختبارات امتحان الحصول على رخصة السياقة مصابا بعجز بدني ال يتنافى مع سياقة املركبات ذات محرك، أمكن تعويض هذا العجز بتهيئة خاصة للمركبة أو بواسطة حمل .وباستعمال أجهزة طبية أو هما معا، من قبل السائق تبعا لتعليمات الطبيب الذي أجرى الفحص الطبي,vehicule_motorise,,,definition,هما | معا | الفحص | الطبيه | الطبي,0,0,0,0,0,0,0,0,0,0
